#,Question Type,Question,Option A,Option B,Option C,Option D,Answer
1,Phonetics,Pick the correct spelling.,Cat,Caat,Catt,Katt,1
2,Phonetics,Which word is spelt correctly?,Fish,Fiss,Fihs,Phish,1
3,Exception Words,Choose the correct word.,Said,Sed,Sayd,Saed,1
4,Digraphs,Ben can ____ the ball.,catch,cach,katch,catsh,1
5,Digraphs,Pick the correct spelling.,Duck,Duk,Duckk,Duc,1
6,Plurals,Which means more than one fox?,Foxes,Foxs,Foxz,Foxses,1
7,Endings,Which happened yesterday?,Jumped,Jumping,Jump,Jumper,1
8,Endings,"Which word means ""doing it now""?",Running,Ran,Runner,Runs,1
9,Prefixes,"Which means ""not kind""?",Unkind,Kind,Prekind,Rekind,1
10,Double Letters,Pick the correct spelling.,Miss,Mis,Mizz,Mise,1
11,Suffixes,My ____ helps me learn.,teacher,techer,teachur,teecher,1
12,Exception Words,Pick the correct spelling.,Friend,Frend,Freind,Frind,1
13,Phonetics,It will ____ today.,rain,rane,rayn,rahn,1
14,Endings,We ____ fun at school.,have,hav,haav,havee,1
15,Exception Words,I go to ____.,school,skool,scool,schooll,1
16,Phonetics,Choose the correct word.,Book,Buk,Bouk,Boke,1
